,offspring,model
159,135,alpha=1.9
160,111,alpha=1.9
161,95,alpha=1.9
162,102,alpha=1.9
163,114,alpha=1.9
164,103,alpha=1.9
165,119,alpha=1.9
166,105,alpha=1.9
167,98,alpha=1.9
168,106,alpha=1.9
169,102,alpha=1.9
170,63,alpha=1.9
171,134,alpha=1.9
172,79,alpha=1.9
173,98,alpha=1.9
174,99,alpha=1.9
175,107,alpha=1.9
176,101,alpha=1.9
177,137,alpha=1.9
178,100,alpha=1.9
179,95,alpha=1.9
180,137,alpha=1.9
181,368,alpha=1.9
182,102,alpha=1.9
183,96,alpha=1.9
184,85,alpha=1.9
185,86,alpha=1.9
186,88,alpha=1.9
187,85,alpha=1.9
188,117,alpha=1.9
189,99,alpha=1.9
190,137,alpha=1.9
191,84,alpha=1.9
192,113,alpha=1.9
193,84,alpha=1.9
194,104,alpha=1.9
195,97,alpha=1.9
196,93,alpha=1.9
197,95,alpha=1.9
198,97,alpha=1.9
199,89,alpha=1.9
200,66,alpha=1.9
201,198,alpha=1.9
202,128,alpha=1.9
203,95,alpha=1.9
204,87,alpha=1.9
205,80,alpha=1.9
206,131,alpha=1.9
207,84,alpha=1.9
208,102,alpha=1.9
209,112,alpha=1.9
210,116,alpha=1.9
211,136,alpha=1.9
212,98,alpha=1.9
213,99,alpha=1.9
214,80,alpha=1.9
215,84,alpha=1.9
216,105,alpha=1.9
217,74,alpha=1.9
218,83,alpha=1.9
219,110,alpha=1.9
220,134,alpha=1.9
221,102,alpha=1.9
222,75,alpha=1.9
223,79,alpha=1.9
224,105,alpha=1.9
225,70,alpha=1.9
226,75,alpha=1.9
227,102,alpha=1.9
228,81,alpha=1.9
229,100,alpha=1.9
230,79,alpha=1.9
231,105,alpha=1.9
232,104,alpha=1.9
233,74,alpha=1.9
234,84,alpha=1.9
235,100,alpha=1.9
236,92,alpha=1.9
237,150,alpha=1.9
238,87,alpha=1.9
239,101,alpha=1.9
240,97,alpha=1.9
241,101,alpha=1.9
242,96,alpha=1.9
243,89,alpha=1.9
244,89,alpha=1.9
245,65,alpha=1.9
246,143,alpha=1.9
247,92,alpha=1.9
248,118,alpha=1.9
249,132,alpha=1.9
250,82,alpha=1.9
251,88,alpha=1.9
252,87,alpha=1.9
253,84,alpha=1.9
254,59,alpha=1.9
255,82,alpha=1.9
256,89,alpha=1.9
257,103,alpha=1.9
258,98,alpha=1.9
259,70,alpha=1.9
260,100,alpha=1.9
261,79,alpha=1.9
262,92,alpha=1.9
263,81,alpha=1.9
264,132,alpha=1.9
265,120,alpha=1.9
266,100,alpha=1.9
267,82,alpha=1.9
268,72,alpha=1.9
269,128,alpha=1.9
270,92,alpha=1.9
271,108,alpha=1.9
272,88,alpha=1.9
273,82,alpha=1.9
274,136,alpha=1.9
275,101,alpha=1.9
276,90,alpha=1.9
277,92,alpha=1.9
278,109,alpha=1.9
279,125,alpha=1.9
280,90,alpha=1.9
281,115,alpha=1.9
282,101,alpha=1.9
283,130,alpha=1.9
284,91,alpha=1.9
285,113,alpha=1.9
286,79,alpha=1.9
287,98,alpha=1.9
288,76,alpha=1.9
289,78,alpha=1.9
290,101,alpha=1.9
291,124,alpha=1.9
292,113,alpha=1.9
293,82,alpha=1.9
294,99,alpha=1.9
295,115,alpha=1.9
296,97,alpha=1.9
297,77,alpha=1.9
298,105,alpha=1.9
299,111,alpha=1.9
300,58,alpha=1.9
301,93,alpha=1.9
302,103,alpha=1.9
303,101,alpha=1.9
304,82,alpha=1.9
305,128,alpha=1.9
306,117,alpha=1.9
307,88,alpha=1.9
308,95,alpha=1.9
309,104,alpha=1.9
310,114,alpha=1.9
311,102,alpha=1.9
312,91,alpha=1.9
313,102,alpha=1.9
314,96,alpha=1.9
315,87,alpha=1.9
316,105,alpha=1.9
317,120,alpha=1.9
318,95,alpha=1.9
319,76,alpha=1.9
320,121,alpha=1.9
321,85,alpha=1.9
322,93,alpha=1.9
323,74,alpha=1.9
324,90,alpha=1.9
325,83,alpha=1.9
326,69,alpha=1.9
327,97,alpha=1.9
328,113,alpha=1.9
329,95,alpha=1.9
330,90,alpha=1.9
331,108,alpha=1.9
332,93,alpha=1.9
333,111,alpha=1.9
334,84,alpha=1.9
335,101,alpha=1.9
336,78,alpha=1.9
337,90,alpha=1.9
338,109,alpha=1.9
339,116,alpha=1.9
340,103,alpha=1.9
341,89,alpha=1.9
342,84,alpha=1.9
343,72,alpha=1.9
344,87,alpha=1.9
345,92,alpha=1.9
346,92,alpha=1.9
347,112,alpha=1.9
348,78,alpha=1.9
349,73,alpha=1.9
350,93,alpha=1.9
351,81,alpha=1.9
352,299,alpha=1.9
353,99,alpha=1.9
354,142,alpha=1.9
355,102,alpha=1.9
356,87,alpha=1.9
357,102,alpha=1.9
358,81,alpha=1.9
359,95,alpha=1.9
360,116,alpha=1.9
361,278,alpha=1.9
362,80,alpha=1.9
363,82,alpha=1.9
364,80,alpha=1.9
365,103,alpha=1.9
366,75,alpha=1.9
367,100,alpha=1.9
368,96,alpha=1.9
369,110,alpha=1.9
370,98,alpha=1.9
371,81,alpha=1.9
372,100,alpha=1.9
373,95,alpha=1.9
374,92,alpha=1.9
375,71,alpha=1.9
376,99,alpha=1.9
377,91,alpha=1.9
378,101,alpha=1.9
379,100,alpha=1.9
380,107,alpha=1.9
381,104,alpha=1.9
382,113,alpha=1.9
383,120,alpha=1.9
384,100,alpha=1.9
385,73,alpha=1.9
386,97,alpha=1.9
387,93,alpha=1.9
388,74,alpha=1.9
389,86,alpha=1.9
390,135,alpha=1.9
391,108,alpha=1.9
392,84,alpha=1.9
393,105,alpha=1.9
394,118,alpha=1.9
395,136,alpha=1.9
396,90,alpha=1.9
397,113,alpha=1.9
398,82,alpha=1.9
399,86,alpha=1.9
400,89,alpha=1.9
401,96,alpha=1.9
402,87,alpha=1.9
403,94,alpha=1.9
404,80,alpha=1.9
405,92,alpha=1.9
406,109,alpha=1.9
407,76,alpha=1.9
408,97,alpha=1.9
409,86,alpha=1.9
410,95,alpha=1.9
411,95,alpha=1.9
412,105,alpha=1.9
413,89,alpha=1.9
414,91,alpha=1.9
415,89,alpha=1.9
416,102,alpha=1.9
417,94,alpha=1.9
418,78,alpha=1.9
419,82,alpha=1.9
420,88,alpha=1.9
421,82,alpha=1.9
422,100,alpha=1.9
423,107,alpha=1.9
424,93,alpha=1.9
425,119,alpha=1.9
426,90,alpha=1.9
427,137,alpha=1.9
428,82,alpha=1.9
429,91,alpha=1.9
430,80,alpha=1.9
431,98,alpha=1.9
432,105,alpha=1.9
433,132,alpha=1.9
434,110,alpha=1.9
435,101,alpha=1.9
436,92,alpha=1.9
437,96,alpha=1.9
438,105,alpha=1.9
439,107,alpha=1.9
440,149,alpha=1.9
441,117,alpha=1.9
442,85,alpha=1.9
443,100,alpha=1.9
444,89,alpha=1.9
445,94,alpha=1.9
446,81,alpha=1.9
447,177,alpha=1.9
448,88,alpha=1.9
449,93,alpha=1.9
450,105,alpha=1.9
451,109,alpha=1.9
452,72,alpha=1.9
453,143,alpha=1.9
454,117,alpha=1.9
455,93,alpha=1.9
456,125,alpha=1.9
457,103,alpha=1.9
458,101,alpha=1.9
459,113,alpha=1.9
460,69,alpha=1.9
461,97,alpha=1.9
462,351,alpha=1.9
463,114,alpha=1.9
464,98,alpha=1.9
465,100,alpha=1.9
466,92,alpha=1.9
467,96,alpha=1.9
468,89,alpha=1.9
469,86,alpha=1.9
470,80,alpha=1.9
471,84,alpha=1.9
472,116,alpha=1.9
473,93,alpha=1.9
474,85,alpha=1.9
475,85,alpha=1.9
476,79,alpha=1.9
477,82,alpha=1.9
478,94,alpha=1.9
479,70,alpha=1.9
480,77,alpha=1.9
481,111,alpha=1.9
482,87,alpha=1.9
483,87,alpha=1.9
484,79,alpha=1.9
485,87,alpha=1.9
486,102,alpha=1.9
487,97,alpha=1.9
488,92,alpha=1.9
489,104,alpha=1.9
490,99,alpha=1.9
491,85,alpha=1.9
492,87,alpha=1.9
493,103,alpha=1.9
494,111,alpha=1.9
495,102,alpha=1.9
496,86,alpha=1.9
497,92,alpha=1.9
498,84,alpha=1.9
499,86,alpha=1.9
500,99,alpha=1.9
501,122,alpha=1.9
502,119,alpha=1.9
503,75,alpha=1.9
504,95,alpha=1.9
505,130,alpha=1.9
506,88,alpha=1.9
507,107,alpha=1.9
508,74,alpha=1.9
509,90,alpha=1.9
510,85,alpha=1.9
511,84,alpha=1.9
512,74,alpha=1.9
513,135,alpha=1.9
514,103,alpha=1.9
515,100,alpha=1.9
516,117,alpha=1.9
517,81,alpha=1.9
518,136,alpha=1.9
519,111,alpha=1.9
520,94,alpha=1.9
521,83,alpha=1.9
522,86,alpha=1.9
523,76,alpha=1.9
524,88,alpha=1.9
525,92,alpha=1.9
526,92,alpha=1.9
527,82,alpha=1.9
528,111,alpha=1.9
529,92,alpha=1.9
530,81,alpha=1.9
531,90,alpha=1.9
532,86,alpha=1.9
533,106,alpha=1.9
534,95,alpha=1.9
535,79,alpha=1.9
536,100,alpha=1.9
537,180,alpha=1.9
538,79,alpha=1.9
539,123,alpha=1.9
540,86,alpha=1.9
541,84,alpha=1.9
542,90,alpha=1.9
543,215,alpha=1.9
544,120,alpha=1.9
545,83,alpha=1.9
546,99,alpha=1.9
547,106,alpha=1.9
548,136,alpha=1.9
549,82,alpha=1.9
550,89,alpha=1.9
551,106,alpha=1.9
552,65,alpha=1.9
553,85,alpha=1.9
554,98,alpha=1.9
555,88,alpha=1.9
556,83,alpha=1.9
557,85,alpha=1.9
558,90,alpha=1.9
559,82,alpha=1.9
560,118,alpha=1.9
561,87,alpha=1.9
562,115,alpha=1.9
563,79,alpha=1.9
564,107,alpha=1.9
565,99,alpha=1.9
566,95,alpha=1.9
567,88,alpha=1.9
568,76,alpha=1.9
569,87,alpha=1.9
570,92,alpha=1.9
571,96,alpha=1.9
572,114,alpha=1.9
573,89,alpha=1.9
574,123,alpha=1.9
575,122,alpha=1.9
576,109,alpha=1.9
577,105,alpha=1.9
578,90,alpha=1.9
579,93,alpha=1.9
580,99,alpha=1.9
581,92,alpha=1.9
582,65,alpha=1.9
583,109,alpha=1.9
584,91,alpha=1.9
585,131,alpha=1.9
586,70,alpha=1.9
587,71,alpha=1.9
588,118,alpha=1.9
589,97,alpha=1.9
590,81,alpha=1.9
591,130,alpha=1.9
592,91,alpha=1.9
593,127,alpha=1.9
594,101,alpha=1.9
595,105,alpha=1.9
596,83,alpha=1.9
597,114,alpha=1.9
598,101,alpha=1.9
599,95,alpha=1.9
600,114,alpha=1.9
601,120,alpha=1.9
602,72,alpha=1.9
603,105,alpha=1.9
604,105,alpha=1.9
605,97,alpha=1.9
606,106,alpha=1.9
607,71,alpha=1.9
608,92,alpha=1.9
609,99,alpha=1.9
610,107,alpha=1.9
611,97,alpha=1.9
612,98,alpha=1.9
613,113,alpha=1.9
614,107,alpha=1.9
615,98,alpha=1.9
616,86,alpha=1.9
617,107,alpha=1.9
618,107,alpha=1.9
619,116,alpha=1.9
620,122,alpha=1.9
621,75,alpha=1.9
622,87,alpha=1.9
623,69,alpha=1.9
624,100,alpha=1.9
625,111,alpha=1.9
626,88,alpha=1.9
627,101,alpha=1.9
628,121,alpha=1.9
629,121,alpha=1.9
630,97,alpha=1.9
631,98,alpha=1.9
632,138,alpha=1.9
633,100,alpha=1.9
634,86,alpha=1.9
635,98,alpha=1.9
636,109,alpha=1.9
637,86,alpha=1.9
638,129,alpha=1.9
639,90,alpha=1.9
640,98,alpha=1.9
641,103,alpha=1.9
642,95,alpha=1.9
643,75,alpha=1.9
644,98,alpha=1.9
645,109,alpha=1.9
646,93,alpha=1.9
647,96,alpha=1.9
648,97,alpha=1.9
649,69,alpha=1.9
650,110,alpha=1.9
651,95,alpha=1.9
652,90,alpha=1.9
653,72,alpha=1.9
654,69,alpha=1.9
655,93,alpha=1.9
656,121,alpha=1.9
657,118,alpha=1.9
658,81,alpha=1.9
659,143,alpha=1.9
660,75,alpha=1.9
661,121,alpha=1.9
662,116,alpha=1.9
663,86,alpha=1.9
664,110,alpha=1.9
665,108,alpha=1.9
666,88,alpha=1.9
667,95,alpha=1.9
668,91,alpha=1.9
669,92,alpha=1.9
670,95,alpha=1.9
671,103,alpha=1.9
672,128,alpha=1.9
673,92,alpha=1.9
674,87,alpha=1.9
675,128,alpha=1.9
676,99,alpha=1.9
677,98,alpha=1.9
678,78,alpha=1.9
679,103,alpha=1.9
680,61,alpha=1.9
681,99,alpha=1.9
682,78,alpha=1.9
683,102,alpha=1.9
684,104,alpha=1.9
685,140,alpha=1.9
686,100,alpha=1.9
687,103,alpha=1.9
688,85,alpha=1.9
689,101,alpha=1.9
690,78,alpha=1.9
691,104,alpha=1.9
692,88,alpha=1.9
693,114,alpha=1.9
694,105,alpha=1.9
695,119,alpha=1.9
696,82,alpha=1.9
697,101,alpha=1.9
698,83,alpha=1.9
699,114,alpha=1.9
700,111,alpha=1.9
701,107,alpha=1.9
702,82,alpha=1.9
703,85,alpha=1.9
704,81,alpha=1.9
705,188,alpha=1.9
706,111,alpha=1.9
707,133,alpha=1.9
708,77,alpha=1.9
709,92,alpha=1.9
710,93,alpha=1.9
711,81,alpha=1.9
712,89,alpha=1.9
713,88,alpha=1.9
714,123,alpha=1.9
715,132,alpha=1.9
716,74,alpha=1.9
717,90,alpha=1.9
718,125,alpha=1.9
719,98,alpha=1.9
720,98,alpha=1.9
721,88,alpha=1.9
722,59,alpha=1.9
723,93,alpha=1.9
724,86,alpha=1.9
725,101,alpha=1.9
726,96,alpha=1.9
727,255,alpha=1.9
728,101,alpha=1.9
729,78,alpha=1.9
730,93,alpha=1.9
731,86,alpha=1.9
732,114,alpha=1.9
733,73,alpha=1.9
734,98,alpha=1.9
735,104,alpha=1.9
736,62,alpha=1.9
737,75,alpha=1.9
738,78,alpha=1.9
739,138,alpha=1.9
740,83,alpha=1.9
741,83,alpha=1.9
742,95,alpha=1.9
743,159,alpha=1.9
744,97,alpha=1.9
745,73,alpha=1.9
746,110,alpha=1.9
747,107,alpha=1.9
748,99,alpha=1.9
749,171,alpha=1.9
750,84,alpha=1.9
751,109,alpha=1.9
752,73,alpha=1.9
753,103,alpha=1.9
754,89,alpha=1.9
755,97,alpha=1.9
756,107,alpha=1.9
757,159,alpha=1.9
758,76,alpha=1.9
759,83,alpha=1.9
760,103,alpha=1.9
761,115,alpha=1.9
762,107,alpha=1.9
763,97,alpha=1.9
764,94,alpha=1.9
765,137,alpha=1.9
766,85,alpha=1.9
767,119,alpha=1.9
768,84,alpha=1.9
769,110,alpha=1.9
770,107,alpha=1.9
771,85,alpha=1.9
772,94,alpha=1.9
773,102,alpha=1.9
774,114,alpha=1.9
775,99,alpha=1.9
776,92,alpha=1.9
777,90,alpha=1.9
778,96,alpha=1.9
779,83,alpha=1.9
780,74,alpha=1.9
781,121,alpha=1.9
782,72,alpha=1.9
783,94,alpha=1.9
784,103,alpha=1.9
785,111,alpha=1.9
786,115,alpha=1.9
787,77,alpha=1.9
788,102,alpha=1.9
789,90,alpha=1.9
790,84,alpha=1.9
791,142,alpha=1.9
792,106,alpha=1.9
793,88,alpha=1.9
794,77,alpha=1.9
795,79,alpha=1.9
796,109,alpha=1.9
797,97,alpha=1.9
798,95,alpha=1.9
799,109,alpha=1.9
800,84,alpha=1.9
801,107,alpha=1.9
802,127,alpha=1.9
803,84,alpha=1.9
804,100,alpha=1.9
805,98,alpha=1.9
806,91,alpha=1.9
807,110,alpha=1.9
808,144,alpha=1.9
809,103,alpha=1.9
810,79,alpha=1.9
811,98,alpha=1.9
812,96,alpha=1.9
813,102,alpha=1.9
814,76,alpha=1.9
815,110,alpha=1.9
816,126,alpha=1.9
817,122,alpha=1.9
818,79,alpha=1.9
819,72,alpha=1.9
820,86,alpha=1.9
821,92,alpha=1.9
822,85,alpha=1.9
823,90,alpha=1.9
824,93,alpha=1.9
825,128,alpha=1.9
826,174,alpha=1.9
827,122,alpha=1.9
828,71,alpha=1.9
829,107,alpha=1.9
830,75,alpha=1.9
831,99,alpha=1.9
832,89,alpha=1.9
833,74,alpha=1.9
834,97,alpha=1.9
835,83,alpha=1.9
836,114,alpha=1.9
837,125,alpha=1.9
838,95,alpha=1.9
839,96,alpha=1.9
840,113,alpha=1.9
841,81,alpha=1.9
842,118,alpha=1.9
843,96,alpha=1.9
844,77,alpha=1.9
845,96,alpha=1.9
846,116,alpha=1.9
847,183,alpha=1.9
848,100,alpha=1.9
849,100,alpha=1.9
850,83,alpha=1.9
851,105,alpha=1.9
852,80,alpha=1.9
853,95,alpha=1.9
854,79,alpha=1.9
855,66,alpha=1.9
856,117,alpha=1.9
857,65,alpha=1.9
858,100,alpha=1.9
859,85,alpha=1.9
860,91,alpha=1.9
861,68,alpha=1.9
862,105,alpha=1.9
863,86,alpha=1.9
864,67,alpha=1.9
865,87,alpha=1.9
866,114,alpha=1.9
867,97,alpha=1.9
868,91,alpha=1.9
869,109,alpha=1.9
870,93,alpha=1.9
871,112,alpha=1.9
872,108,alpha=1.9
873,99,alpha=1.9
874,74,alpha=1.9
875,93,alpha=1.9
876,94,alpha=1.9
877,93,alpha=1.9
878,96,alpha=1.9
879,88,alpha=1.9
880,99,alpha=1.9
881,264,alpha=1.9
882,107,alpha=1.9
883,125,alpha=1.9
884,97,alpha=1.9
885,87,alpha=1.9
886,89,alpha=1.9
887,114,alpha=1.9
888,88,alpha=1.9
889,81,alpha=1.9
890,112,alpha=1.9
891,106,alpha=1.9
892,87,alpha=1.9
893,94,alpha=1.9
894,99,alpha=1.9
895,97,alpha=1.9
896,90,alpha=1.9
897,108,alpha=1.9
898,102,alpha=1.9
899,114,alpha=1.9
900,108,alpha=1.9
901,97,alpha=1.9
902,86,alpha=1.9
903,110,alpha=1.9
904,124,alpha=1.9
905,113,alpha=1.9
906,102,alpha=1.9
907,78,alpha=1.9
908,120,alpha=1.9
909,107,alpha=1.9
910,76,alpha=1.9
911,110,alpha=1.9
912,134,alpha=1.9
913,85,alpha=1.9
914,79,alpha=1.9
915,103,alpha=1.9
916,132,alpha=1.9
917,79,alpha=1.9
918,122,alpha=1.9
919,92,alpha=1.9
920,86,alpha=1.9
921,104,alpha=1.9
922,158,alpha=1.9
923,79,alpha=1.9
924,89,alpha=1.9
925,118,alpha=1.9
926,98,alpha=1.9
927,100,alpha=1.9
928,183,alpha=1.9
929,82,alpha=1.9
930,99,alpha=1.9
931,132,alpha=1.9
932,118,alpha=1.9
933,159,alpha=1.9
934,118,alpha=1.9
935,94,alpha=1.9
936,85,alpha=1.9
937,99,alpha=1.9
938,180,alpha=1.9
939,97,alpha=1.9
940,99,alpha=1.9
941,121,alpha=1.9
942,123,alpha=1.9
943,105,alpha=1.9
944,125,alpha=1.9
945,84,alpha=1.9
946,97,alpha=1.9
947,83,alpha=1.9
948,74,alpha=1.9
949,85,alpha=1.9
950,112,alpha=1.9
951,63,alpha=1.9
952,86,alpha=1.9
953,141,alpha=1.9
954,85,alpha=1.9
955,138,alpha=1.9
956,97,alpha=1.9
957,80,alpha=1.9
958,87,alpha=1.9
959,119,alpha=1.9
960,87,alpha=1.9
961,102,alpha=1.9
962,135,alpha=1.9
963,95,alpha=1.9
964,77,alpha=1.9
965,96,alpha=1.9
966,76,alpha=1.9
967,97,alpha=1.9
968,78,alpha=1.9
969,96,alpha=1.9
970,102,alpha=1.9
971,83,alpha=1.9
972,117,alpha=1.9
973,91,alpha=1.9
974,97,alpha=1.9
975,92,alpha=1.9
976,107,alpha=1.9
977,72,alpha=1.9
978,81,alpha=1.9
979,70,alpha=1.9
980,105,alpha=1.9
981,93,alpha=1.9
982,87,alpha=1.9
983,89,alpha=1.9
984,137,alpha=1.9
985,78,alpha=1.9
986,103,alpha=1.9
987,112,alpha=1.9
988,100,alpha=1.9
989,105,alpha=1.9
990,91,alpha=1.9
991,81,alpha=1.9
992,125,alpha=1.9
993,111,alpha=1.9
994,81,alpha=1.9
995,106,alpha=1.9
996,89,alpha=1.9
997,141,alpha=1.9
998,102,alpha=1.9
999,86,alpha=1.9
1000,95,alpha=1.9
1001,100,alpha=1.9
1002,125,alpha=1.9
1003,115,alpha=1.9
1004,87,alpha=1.9
1005,88,alpha=1.9
1006,148,alpha=1.9
1007,131,alpha=1.9
1008,75,alpha=1.9
1009,102,alpha=1.9
1010,99,alpha=1.9
1011,122,alpha=1.9
1012,109,alpha=1.9
1013,73,alpha=1.9
1014,79,alpha=1.9
1015,128,alpha=1.9
1016,68,alpha=1.9
1017,91,alpha=1.9
1018,80,alpha=1.9
1019,91,alpha=1.9
1020,95,alpha=1.9
1021,108,alpha=1.9
1022,88,alpha=1.9
1023,114,alpha=1.9
1024,133,alpha=1.9
1025,93,alpha=1.9
1026,83,alpha=1.9
1027,80,alpha=1.9
1028,106,alpha=1.9
1029,111,alpha=1.9
1030,118,alpha=1.9
1031,106,alpha=1.9
1032,107,alpha=1.9
1033,71,alpha=1.9
1034,99,alpha=1.9
1035,80,alpha=1.9
1036,98,alpha=1.9
1037,107,alpha=1.9
1038,114,alpha=1.9
1039,77,alpha=1.9
1040,92,alpha=1.9
1041,124,alpha=1.9
1042,73,alpha=1.9
1043,143,alpha=1.9
1044,77,alpha=1.9
1045,79,alpha=1.9
1046,103,alpha=1.9
1047,109,alpha=1.9
1048,110,alpha=1.9
1049,76,alpha=1.9
1050,122,alpha=1.9
1051,107,alpha=1.9
1052,82,alpha=1.9
1053,98,alpha=1.9
1054,97,alpha=1.9
1055,100,alpha=1.9
1056,87,alpha=1.9
1057,106,alpha=1.9
1058,97,alpha=1.9
1059,113,alpha=1.9
1060,97,alpha=1.9
1061,113,alpha=1.9
1062,96,alpha=1.9
1063,90,alpha=1.9
1064,118,alpha=1.9
1065,109,alpha=1.9
1066,89,alpha=1.9
1067,125,alpha=1.9
1068,119,alpha=1.9
1069,115,alpha=1.9
1070,79,alpha=1.9
1071,101,alpha=1.9
1072,119,alpha=1.9
1073,75,alpha=1.9
1074,81,alpha=1.9
1075,132,alpha=1.9
1076,107,alpha=1.9
1077,89,alpha=1.9
1078,76,alpha=1.9
1079,165,alpha=1.9
1080,103,alpha=1.9
1081,100,alpha=1.9
1082,90,alpha=1.9
1083,64,alpha=1.9
1084,66,alpha=1.9
1085,96,alpha=1.9
1086,88,alpha=1.9
1087,98,alpha=1.9
1088,72,alpha=1.9
1089,148,alpha=1.9
1090,86,alpha=1.9
1091,87,alpha=1.9
1092,87,alpha=1.9
1093,81,alpha=1.9
1094,104,alpha=1.9
1095,94,alpha=1.9
1096,98,alpha=1.9
1097,72,alpha=1.9
1098,111,alpha=1.9
1099,78,alpha=1.9
1100,92,alpha=1.9
1101,91,alpha=1.9
1102,138,alpha=1.9
1103,110,alpha=1.9
1104,91,alpha=1.9
1105,122,alpha=1.9
1106,84,alpha=1.9
1107,139,alpha=1.9
1108,89,alpha=1.9
1109,93,alpha=1.9
1110,91,alpha=1.9
1111,108,alpha=1.9
1112,74,alpha=1.9
1113,79,alpha=1.9
1114,146,alpha=1.9
1115,138,alpha=1.9
1116,67,alpha=1.9
1117,134,alpha=1.9
1118,86,alpha=1.9
1119,108,alpha=1.9
1120,101,alpha=1.9
1121,132,alpha=1.9
1122,117,alpha=1.9
1123,95,alpha=1.9
1124,97,alpha=1.9
1125,79,alpha=1.9
1126,107,alpha=1.9
1127,111,alpha=1.9
1128,129,alpha=1.9
1129,71,alpha=1.9
1130,83,alpha=1.9
1131,140,alpha=1.9
1132,128,alpha=1.9
1133,62,alpha=1.9
1134,82,alpha=1.9
1135,92,alpha=1.9
1136,93,alpha=1.9
1137,92,alpha=1.9
1138,83,alpha=1.9
1139,81,alpha=1.9
1140,85,alpha=1.9
1141,136,alpha=1.9
1142,90,alpha=1.9
1143,153,alpha=1.9
1144,110,alpha=1.9
1145,121,alpha=1.9
1146,94,alpha=1.9
1147,93,alpha=1.9
1148,92,alpha=1.9
1149,81,alpha=1.9
1150,107,alpha=1.9
1151,102,alpha=1.9
